brand,model,price,screen-size,screen-resolution-x,screen-resolution-y,is-fhd,is-ultra-hd,is-touchable,weight,cpu-brand,cpu-cores,cpu-frequency,cpu-class,memory,memory-type,memory-speed,gpu,has-discrete-graphic-card,gpu-class,storage-size,storage-type,storage-speed,configurable,battery-life,os,warranty,colors,detachable
Apple,Apple 11-inch MacBook Air 128G,1188,11.6,1366,768,N,N,N,1.08,Intel,2,1.6,2,4,LPDDR3,1600,Intel HD Graphics 6000,N,1,128,SSD,,,9,OS X,0,,N
Apple,Apple 11-inch MacBook Air 256G,1488,11.6,1366,768,N,N,N,1.08,Intel,2,1.6,2,4,LPDDR3,1600,Intel HD Graphics 6000,N,1,256,SSD,,Configurable to 512GB flash storage.,9,OS X,0,,N
Apple,Apple 13-inch MacBook Air 128G,1328,13.3,1440,900,N,N,N,1.35,Intel,2,1.6,2,4,LPDDR3,1600,Intel HD Graphics 6000,N,1,128,SSD,,,12,OS X,0,,N
Apple,Apple 13-inch MacBook Air 256G,1618,13.3,1440,900,N,N,N,1.35,Intel,2,1.6,2,4,LPDDR3,1600,Intel HD Graphics 6000,N,1,256,SSD,,Configurable to 512GB flash storage.,12,OS X,0,,N
Apple,Apple 13-inch MacBook Pro,1488,13.3,1280,800,N,N,N,1.62,Intel,2,2.5,2,4,LPDDR3,1600,Intel HD Graphics 4000,N,0,500,HDD,5400,,7,OS X,0,,N
Apple,Apple 13-inch MacBook Pro with Retina display 128G,1688,13.3,2560,1600,Y,N,N,1.58,Intel,2,2.7,3,8,LPDDR3,1866,Intel Iris Graphics 6100,N,1,128,SSD,,,10,OS X,0,,N
Apple,Apple 13-inch MacBook Pro with Retina display 256G,1988,13.3,2560,1600,Y,N,N,1.58,Intel,2,2.7,3,8,LPDDR3,1866,Intel Iris Graphics 6100,N,1,256,SSD,,,10,OS X,0,,N
Apple,Apple 13-inch MacBook Pro with Retina display 512G,2388,13.3,2560,1600,Y,N,N,1.58,Intel,2,2.9,3,8,LPDDR3,1866,Intel Iris Graphics 6100,N,1,512,SSD,,Configurable to 1TB flash storage.,10,OS X,0,,N
Apple,Apple 15-inch MacBook Pro with Retina display 256G,2688,15.4,2880,1800,Y,N,N,2.04,Intel,4,2.2,5,16,DDR3L,1600,Intel Iris Pro Graphics 5200,N,1,256,SSD,,Configurable to 1TB flash storage.,9,OS X,0,,N
Apple,Apple 15-inch MacBook Pro with Retina display 512G,3288,15.4,2880,1800,Y,N,N,2.04,Intel,4,2.5,5,16,DDR3L,1600,Intel Iris Pro Graphics 5200,N,1,512,SSD,,Configurable to 1TB flash storage.,9,OS X,0,,N
